0, 0, 0, 1, 0.0, 0, 1, 0.0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0.0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 
4, 2, 2, 3, 0.666666666667, 0, 1, 0.0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 1, 1, 1, 3, 0.333333333333, 0, 1, 0.0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 
4, 5, 2, 4, 0.5, 0, 1, 0.0, 0, 1, 0.0, 0, 3, 3, 2, 0, 0, 1, 1, 2, 6, 0.333333333333, 1, 3, 0.333333333333, 0, 0, 0, 1, 3, 4, 2, 0, 0, 0, 1, 
5, 5, 2, 4, 0.5, 0, 1, 0.0, 1, 2, 0.5, 0, 3, 3, 2, 0, 0, 2, 1, 2, 7, 0.285714285714, 1, 4, 0.25, 0, 0, 0, 1, 3, 4, 2, 0, 0, 0, 1, 
5, 5, 2, 4, 0.5, 0, 1, 0.0, 1, 2, 0.5, 0, 4, 4, 2, 0, 0, 3, 2, 2, 7, 0.285714285714, 1, 4, 0.25, 0, 0, 0, 1, 3, 4, 2, 0, 0, 0, 1, 
7, 7, 3, 5, 0.6, 0, 1, 0.0, 1, 2, 0.5, 0, 4, 4, 3, 0, 0, 3, 3, 3, 9, 0.333333333333, 1, 4, 0.25, 0, 0, 0, 2, 3, 5, 2, 0, 0, 0, 1, 
7, 10, 3, 6, 0.5, 0, 1, 0.0, 1, 2, 0.5, 0, 4, 4, 3, 0, 0, 3, 4, 4, 10, 0.4, 1, 4, 0.25, 1, 1, 1.0, 2, 4, 6, 2, 0, 0, 0, 1, 
7, 13, 3, 7, 0.428571428571, 0, 1, 0.0, 1, 2, 0.5, 0, 4, 4, 3, 0, 0, 3, 4, 5, 13, 0.384615384615, 1, 6, 0.166666666667, 2, 2, 1.0, 4, 5, 9, 3, 0, 0, 0, 1, 
7, 13, 3, 7, 0.428571428571, 0, 1, 0.0, 1, 2, 0.5, 0, 4, 4, 3, 0, 0, 3, 4, 5, 13, 0.384615384615, 1, 6, 0.166666666667, 2, 2, 1.0, 4, 5, 9, 3, 0, 0, 0, 1, 
7, 13, 3, 7, 0.428571428571, 0, 1, 0.0, 1, 2, 0.5, 0, 4, 4, 3, 0, 0, 3, 4, 5, 13, 0.384615384615, 1, 6, 0.166666666667, 2, 2, 1.0, 4, 5, 9, 3, 0, 0, 0, 1, 
11, 15, 5, 9, 0.555555555556, 0, 1, 0.0, 1, 2, 0.5, 0, 4, 4, 4, 0, 0, 3, 4, 6, 14, 0.428571428571, 1, 6, 0.166666666667, 2, 2, 1.0, 4, 5, 9, 4, 0, 0, 0, 1, 
17, 17, 7, 11, 0.636363636364, 2, 3, 0.666666666667, 1, 2, 0.5, 0, 5, 5, 6, 0, 0, 3, 4, 7, 17, 0.411764705882, 1, 7, 0.142857142857, 2, 2, 1.0, 4, 5, 9, 5, 0, 0, 0, 1, 
17, 17, 7, 11, 0.636363636364, 2, 3, 0.666666666667, 1, 3, 0.333333333333, 0, 6, 6, 6, 0, 0, 3, 4, 7, 17, 0.411764705882, 1, 7, 0.142857142857, 2, 2, 1.0, 4, 5, 9, 5, 0, 0, 0, 2, 
18, 17, 7, 11, 0.636363636364, 2, 3, 0.666666666667, 2, 4, 0.5, 0, 7, 7, 6, 0, 0, 4, 4, 7, 18, 0.388888888889, 1, 7, 0.142857142857, 2, 2, 1.0, 4, 5, 9, 5, 1, 0, 0, 2, 
18, 17, 7, 11, 0.636363636364, 2, 3, 0.666666666667, 2, 4, 0.5, 0, 7, 7, 6, 0, 0, 4, 4, 7, 18, 0.388888888889, 1, 7, 0.142857142857, 2, 2, 1.0, 4, 5, 9, 5, 1, 0, 0, 2, 
18, 17, 7, 11, 0.636363636364, 2, 3, 0.666666666667, 2, 4, 0.5, 0, 7, 7, 6, 0, 0, 4, 5, 7, 18, 0.388888888889, 1, 7, 0.142857142857, 2, 2, 1.0, 4, 5, 9, 5, 1, 0, 0, 2, 
20, 18, 8, 12, 0.666666666667, 2, 3, 0.666666666667, 2, 4, 0.5, 0, 8, 8, 7, 0, 0, 4, 6, 7, 18, 0.388888888889, 1, 7, 0.142857142857, 3, 4, 0.75, 4, 5, 9, 5, 1, 0, 0, 2, 
20, 18, 8, 12, 0.666666666667, 2, 3, 0.666666666667, 2, 4, 0.5, 0, 8, 8, 7, 0, 0, 4, 6, 7, 18, 0.388888888889, 1, 7, 0.142857142857, 3, 4, 0.75, 4, 5, 9, 5, 1, 0, 0, 2, 
20, 18, 8, 12, 0.666666666667, 2, 3, 0.666666666667, 2, 4, 0.5, 0, 8, 8, 6, 0, 0, 4, 6, 7, 18, 0.388888888889, 1, 7, 0.142857142857, 3, 4, 0.75, 4, 5, 9, 5, 1, 0, 0, 2, 
20, 19, 8, 13, 0.615384615385, 2, 3, 0.666666666667, 2, 4, 0.5, 0, 8, 8, 6, 0, 0, 4, 6, 7, 18, 0.388888888889, 1, 7, 0.142857142857, 4, 6, 0.666666666667, 4, 6, 10, 5, 1, 0, 0, 2, 
